time,flow,temp,salt,TRC_tr1,TRC_age,OXY_oxy
2001-12-01,0,20.29,0.51912,1,0,300
2001-12-02,0,19.71,0.52081,1,0,300
2001-12-03,0,19.36,0.52249,1,0,300
2001-12-04,0,18.36,0.52417,1,0,300
2001-12-05,0,18.29,0.52584,1,0,300
2001-12-06,0,18.50,0.52750,1,0,300
2001-12-07,0,18.43,0.52915,1,0,300
2001-12-08,0,18.79,0.53080,1,0,300
2001-12-09,0,19.29,0.53244,1,0,300
2001-12-10,0,19.93,0.53407,1,0,300
2001-12-11,0,20.43,0.53568,1,0,300
2001-12-12,0,20.93,0.53729,1,0,300
2001-12-13,0,21.43,0.53889,1,0,300
2001-12-14,0,21.71,0.54048,1,0,300
2001-12-15,0,21.50,0.54205,1,0,300
2001-12-16,0,21.29,0.54361,1,0,300
2001-12-17,0,20.86,0.54516,1,0,300
2001-12-18,0,20.50,0.54670,1,0,300
2001-12-19,0,20.07,0.54822,1,0,300
2001-12-20,0,19.57,0.54973,1,0,300
2001-12-21,0,18.93,0.55123,1,0,300
2001-12-22,0,19.14,0.55271,1,0,300
2001-12-23,0,19.00,0.55417,1,0,300
2001-12-24,0,18.43,0.55562,1,0,300
2001-12-25,0,18.57,0.55705,1,0,300
2001-12-26,0,18.86,0.55847,1,0,300
2001-12-27,0,18.71,0.55987,1,0,300
2001-12-28,0,18.93,0.56125,1,0,300
2001-12-29,0,18.21,0.56261,1,0,300
2001-12-30,0,18.79,0.56396,1,0,300
2001-12-31,0,20.14,0.56529,1,0,300
2002-01-01,0,20.43,0.56583,1,0,300
2002-01-02,0,20.57,0.56713,1,0,300
2002-01-03,0,20.57,0.56841,1,0,300
2002-01-04,0,20.64,0.56967,1,0,300
2002-01-05,0,20.79,0.57091,1,0,300
2002-01-06,0,20.79,0.57213,1,0,300
2002-01-07,0,20.29,0.57333,1,0,300
2002-01-08,0,19.86,0.57450,1,0,300
2002-01-09,0,19.43,0.57566,1,0,300
2002-01-10,0,19.79,0.57679,1,0,300
2002-01-11,0,20.50,0.57790,1,0,300
2002-01-12,0,21.50,0.57899,1,0,300
2002-01-13,0,21.64,0.58006,1,0,300
2002-01-14,0,22.79,0.58110,1,0,300
2002-01-15,0,23.21,0.58212,1,0,300
2002-01-16,0,23.50,0.58311,1,0,300
2002-01-17,0,23.64,0.58408,1,0,300
2002-01-18,0,23.36,0.58502,1,0,300
2002-01-19,0,23.14,0.58595,1,0,300
2002-01-20,0,23.07,0.58684,1,0,300
2002-01-21,0,22.07,0.58771,1,0,300
2002-01-22,0,21.93,0.58855,1,0,300
2002-01-23,0,22.07,0.58937,1,0,300
2002-01-24,0,21.93,0.59016,1,0,300
2002-01-25,0,21.79,0.59093,1,0,300
2002-01-26,0,22.29,0.59167,1,0,300
2002-01-27,0,22.64,0.59238,1,0,300
2002-01-28,0,23.21,0.59307,1,0,300
2002-01-29,0,23.64,0.59372,1,0,300
2002-01-30,0,23.93,0.59435,1,0,300
2002-01-31,0,24.29,0.59496,1,0,300
2002-02-01,0,24.93,0.59521,1,0,300
2002-02-02,0,25.07,0.59578,1,0,300
2002-02-03,0,25.36,0.59631,1,0,300
2002-02-04,0,25.86,0.59682,1,0,300
2002-02-05,0,26.07,0.59730,1,0,300
2002-02-06,0,26.21,0.59775,1,0,300
2002-02-07,0,26.79,0.59817,1,0,300
2002-02-08,0,27.07,0.59856,1,0,300
2002-02-09,0,26.71,0.59892,1,0,300
2002-02-10,0,26.07,0.59926,1,0,300
2002-02-11,0,24.71,0.59956,1,0,300
2002-02-12,0,23.86,0.59984,1,0,300
2002-02-13,0,22.93,0.60008,1,0,300
2002-02-14,0,21.93,0.60030,1,0,300
2002-02-15,0,20.93,0.60049,1,0,300
2002-02-16,0,20.14,0.60065,1,0,300
2002-02-17,0,19.79,0.60078,1,0,300
2002-02-18,0,19.50,0.60088,1,0,300
2002-02-19,0,19.79,0.60095,1,0,300
2002-02-20,0,20.71,0.60099,1,0,300
2002-02-21,0,21.57,0.60100,1,0,300
2002-02-22,0,22.29,0.60098,1,0,300
2002-02-23,0,22.93,0.60093,1,0,300
2002-02-24,0,23.64,0.60086,1,0,300
2002-02-25,0,24.79,0.60075,1,0,300
2002-02-26,0,25.36,0.60061,1,0,300
2002-02-27,0,25.21,0.60044,1,0,300
2002-02-28,0,25.14,0.60025,1,0,300
2002-03-01,0,24.86,0.59935,1,0,300
2002-03-02,0,24.36,0.59903,1,0,300
2002-03-03,0,23.57,0.59867,1,0,300
2002-03-04,0,22.86,0.59829,1,0,300
2002-03-05,0,22.57,0.59788,1,0,300
2002-03-06,0,23.21,0.59744,1,0,300
2002-03-07,0,22.57,0.59697,1,0,300
2002-03-08,0,21.79,0.59647,1,0,300
2002-03-09,0,21.79,0.59594,1,0,300
2002-03-10,0,22.29,0.59539,1,0,300
2002-03-11,0,22.57,0.59481,1,0,300
2002-03-12,0,22.21,0.59420,1,0,300
2002-03-13,0,21.50,0.59356,1,0,300
2002-03-14,0,21.43,0.59289,1,0,300
2002-03-15,0,21.86,0.59220,1,0,300
2002-03-16,0,21.79,0.59148,1,0,300
2002-03-17,0,21.07,0.59074,1,0,300
2002-03-18,0,20.43,0.58996,1,0,300
2002-03-19,0,20.21,0.58917,1,0,300
2002-03-20,0,19.86,0.58834,1,0,300
2002-03-21,0,19.64,0.58749,1,0,300
2002-03-22,0,19.21,0.58661,1,0,300
2002-03-23,0,19.36,0.58571,1,0,300
2002-03-24,0,20.07,0.58479,1,0,300
2002-03-25,0,21.00,0.58383,1,0,300
2002-03-26,0,21.57,0.58286,1,0,300
2002-03-27,0,22.36,0.58186,1,0,300
2002-03-28,0,23.07,0.58083,1,0,300
2002-03-29,0,23.50,0.57979,1,0,300
2002-03-30,0,23.36,0.57872,1,0,300
2002-03-31,0,22.86,0.57762,1,0,300
2002-04-01,0,22.14,0.57713,1,0,300
2002-04-02,0,21.57,0.57601,1,0,300
2002-04-03,0,20.71,0.57486,1,0,300
2002-04-04,0,20.43,0.57369,1,0,300
2002-04-05,0,20.14,0.57250,1,0,300
2002-04-06,0,20.36,0.57128,1,0,300
2002-04-07,0,20.00,0.57005,1,0,300
2002-04-08,0,19.71,0.56879,1,0,300
2002-04-09,0,19.64,0.56752,1,0,300
2002-04-10,0,19.71,0.56622,1,0,300
2002-04-11,0,19.93,0.56491,1,0,300
2002-04-12,0,20.50,0.56358,1,0,300
2002-04-13,0,20.64,0.56223,1,0,300
2002-04-14,0,21.07,0.56086,1,0,300
2002-04-15,0,21.21,0.55947,1,0,300
2002-04-16,0,21.14,0.55807,1,0,300
2002-04-17,1.084056713,20.93,0.55665,1,0,300
2002-04-18,0,20.64,0.55521,1,0,300
2002-04-19,0,20.21,0.55376,1,0,300
2002-04-20,0,20.00,0.55229,1,0,300
2002-04-21,0,19.50,0.55080,1,0,300
2002-04-22,0,19.14,0.54930,1,0,300
2002-04-23,0,19.29,0.54779,1,0,300
2002-04-24,0,18.93,0.54626,1,0,300
2002-04-25,0,18.14,0.54472,1,0,300
2002-04-26,0,17.93,0.54317,1,0,300
2002-04-27,0,18.14,0.54160,1,0,300
2002-04-28,0,19.00,0.54002,1,0,300
2002-04-29,0,20.21,0.53844,1,0,300
2002-04-30,0,20.86,0.53683,1,0,300
2002-05-01,0,21.50,0.53451,1,0,300
2002-05-02,0,21.86,0.53289,1,0,300
2002-05-03,0,22.00,0.53125,1,0,300
2002-05-04,0,21.57,0.52961,1,0,300
2002-05-05,0,20.93,0.52795,1,0,300
2002-05-06,0.173449074,20.14,0.52629,1,0,300
2002-05-07,0,19.57,0.52463,1,0,300
2002-05-08,0,19.07,0.52295,1,0,300
2002-05-09,0,19.29,0.52127,1,0,300
2002-05-10,0,19.21,0.51958,1,0,300
2002-05-11,0,18.79,0.51789,1,0,300
2002-05-12,0,18.64,0.51619,1,0,300
2002-05-13,0,18.29,0.51449,1,0,300
2002-05-14,0,17.86,0.51278,1,0,300
2002-05-15,0,17.71,0.51107,1,0,300
2002-05-16,0,17.14,0.50936,1,0,300
2002-05-17,0,16.93,0.50764,1,0,300
2002-05-18,0,16.86,0.50593,1,0,300
2002-05-19,0,16.57,0.50421,1,0,300
2002-05-20,0,15.57,0.50249,1,0,300
2002-05-21,0,16.29,0.50077,1,0,300
2002-05-22,0,16.36,0.49905,1,0,300
2002-05-23,0,16.64,0.49733,1,0,300
2002-05-24,0,17.07,0.49561,1,0,300
2002-05-25,0,17.50,0.49389,1,0,300
2002-05-26,0,17.57,0.49218,1,0,300
2002-05-27,0,18.36,0.49047,1,0,300
2002-05-28,0,17.79,0.48876,1,0,300
2002-05-29,0,18.14,0.48705,1,0,300
